CYP2D6 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*36/*95,,CYP2D6 Indeterminate,none
*36/*96,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*97,,CYP2D6 Indeterminate,none
*36/*98,,CYP2D6 Indeterminate,none
*36/*99,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*100,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*101,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*102,,CYP2D6 Indeterminate,none
*36/*103,,CYP2D6 Indeterminate,none
*36/*104,,CYP2D6 Indeterminate,none
*36/*105,,CYP2D6 Indeterminate,none
*36/*106,,CYP2D6 Indeterminate,none
*36/*107,,CYP2D6 Indeterminate,none
*36/*108,,CYP2D6 Indeterminate,none
*36/*109,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36/*110,,CYP2D6 Indeterminate,none
*36/*111,,CYP2D6 Indeterminate,none
*36/*112,,CYP2D6 Indeterminate,none
*36/*113,,CYP2D6 Indeterminate,none
*36/*114,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*115,,CYP2D6 Indeterminate,none
*36/*116,,CYP2D6 Indeterminate,none
*36/*117,,CYP2D6 Indeterminate,none
*36/*118,,CYP2D6 Indeterminate,none
*36/*119,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36/*120,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*121,,CYP2D6 Indeterminate,none
*36/*122,,CYP2D6 Indeterminate,none
*36/*123,,CYP2D6 Indeterminate,none
*36/*124,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*125,,CYP2D6 Indeterminate,none
*36/*126,,CYP2D6 Indeterminate,none
*36/*127,,CYP2D6 Indeterminate,none
*36/*128,,CYP2D6 Indeterminate,none
*36/*129,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*130,,CYP2D6 Indeterminate,none
*36/*131,,CYP2D6 Indeterminate,none
*36/*132,0.25,CYP2D6 Intermediate Metabolizer,Abnormal/Priority/High Risk
*36/*133,,CYP2D6 Indeterminate,none
*36/*134,,CYP2D6 Indeterminate,none
*36/*135,,CYP2D6 Indeterminate,none
*36/*136,,CYP2D6 Indeterminate,none
*36/*137,,CYP2D6 Indeterminate,none
*36/*138,,CYP2D6 Indeterminate,none
*36/*139,,CYP2D6 Indeterminate,none
*36/*140,,CYP2D6 Indeterminate,none
*36/*141,,CYP2D6 Indeterminate,none
*36/*142,,CYP2D6 Indeterminate,none
*36/*143,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*144,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*145,,CYP2D6 Indeterminate,none
*36/*146,,CYP2D6 Indeterminate,none
*36/*146x2,,CYP2D6 Indeterminate,none
*36/*147,,CYP2D6 Indeterminate,none
*36/*148,,CYP2D6 Indeterminate,none
*36/*149,,CYP2D6 Indeterminate,none
*36/*152,,CYP2D6 Indeterminate,none
*36/*153,,CYP2D6 Indeterminate,none
*36/*154,,CYP2D6 Indeterminate,none
*36/*155,,CYP2D6 Indeterminate,none
*36/*156,0.0,CYP2D6 Poor Metabolizer,Abnormal/Priority/High Risk
*36/*157,,CYP2D6 Indeterminate,none
*36/*158,,CYP2D6 Indeterminate,none
*36/*159,,CYP2D6 Indeterminate,none
